Fernandes LE-1Z 3S Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.050Z	g4.jpg	аккустика	9AvG-j	7	681365
Ditson 000-10 (ель/красное дерево)	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.051Z	g2.jpg	электро	ry888d	6	499972
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Создавалась для известных музыкантов.	2023-09-26T20:20:06.051Z	g9.jpg	аккустика	U4NIcG	12	132044
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Создавалась для известных музыкантов.	2023-09-27T20:20:06.051Z	g2.jpg	аккустика	Renucl	6	908829
Cort GB24JJ-2T GB Series	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-28T20:20:06.051Z	g5.jpg	электро	tJB2up	4	793804
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-29T20:20:06.051Z	g2.jpg	аккустика	dbYX5R	6	579507
Ditson 000-10 (ель/красное дерево)	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-29T20:20:06.052Z	g6.jpg	укулеле	BLDE0M	6	520358
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-27T20:20:06.052Z	g6.jpg	аккустика	jvdY6P	12	631473
Ditson 000-10 (ель/красное дерево)	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-23T20:20:06.052Z	g2.jpg	укулеле	sXKeCg	12	68334
Fernandes LE-1Z 3S Black	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-28T20:20:06.052Z	g3.jpg	укулеле	pKtFP9	6	797614
Fernandes LE-1Z 3S Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-29T20:20:06.052Z	g4.jpg	электро	u0Rkpd	12	125398
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-26T20:20:06.052Z	g2.jpg	аккустика	mWd92t	6	254241
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-25T20:20:06.052Z	g4.jpg	аккустика	4orXxg	4	45621
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-28T20:20:06.052Z	g10.jpg	аккустика	cZM8m3	7	254434
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-24T20:20:06.052Z	g3.jpg	аккустика	Dhntpn	6	268907
Cort GB24JJ-2T GB Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-27T20:20:06.052Z	g8.jpg	аккустика	zRwyQm	7	839410
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-26T20:20:06.052Z	g6.jpg	аккустика	wzXz6Q	6	146930
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-23T20:20:06.052Z	g6.jpg	электро	VpJKJf	6	372067
Ditson 000-10 (ель/красное дерево)	Есть ощущение, что в руках история.	2023-09-24T20:20:06.052Z	g7.jpg	аккустика	zAkFxm	4	511813
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-24T20:20:06.052Z	g7.jpg	электро	cZ1w03	6	435935
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-26T20:20:06.052Z	g2.jpg	электро	7MPf8L	7	689387
Cort GB24JJ-2T GB Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-27T20:20:06.052Z	g3.jpg	аккустика	kFQ02y	6	861507
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-27T20:20:06.052Z	g5.jpg	аккустика	65w3YX	12	923012
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-27T20:20:06.052Z	g4.jpg	аккустика	LT0U67	4	322954
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-28T20:20:06.052Z	g7.jpg	аккустика	PE-Dop	6	826912
Fernandes LE-1Z 3S Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-28T20:20:06.052Z	g4.jpg	укулеле	aG-q5y	12	961847
Cort GB24JJ-2T GB Series	Создавалась для известных музыкантов.	2023-09-25T20:20:06.052Z	g5.jpg	электро	M2Egvh	12	788574
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.052Z	g4.jpg	укулеле	o4d8Zu	7	640783
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-25T20:20:06.052Z	g3.jpg	аккустика	16yk_S	12	650938
Fernandes LE-1Z 3S Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-24T20:20:06.052Z	g4.jpg	аккустика	dZP6LP	4	318083
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-25T20:20:06.052Z	g3.jpg	укулеле	t2N18q	12	416289
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-26T20:20:06.052Z	g3.jpg	аккустика	lpl2qN	7	342516
Ditson 000-10 (ель/красное дерево)	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-23T20:20:06.052Z	g2.jpg	электро	uZ3hFW	4	340522
Cort GB24JJ-2T GB Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-25T20:20:06.052Z	g9.jpg	укулеле	ia8Szr	4	828249
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-27T20:20:06.052Z	g9.jpg	аккустика	JsPDsZ	4	130890
Cort GB24JJ-2T GB Series	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-25T20:20:06.052Z	g4.jpg	аккустика	jzjDeW	6	969327
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Есть ощущение, что в руках история.	2023-09-24T20:20:06.052Z	g7.jpg	аккустика	RWNbXE	6	574700
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-24T20:20:06.052Z	g5.jpg	аккустика	tL8jRC	6	346435
Cort GB24JJ-2T GB Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-23T20:20:06.052Z	g10.jpg	укулеле	gnos1F	7	920489
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-29T20:20:06.052Z	g2.jpg	аккустика	L_Kpbn	7	223687
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.052Z	g2.jpg	электро	kOpJ3M	4	428890
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-29T20:20:06.052Z	g10.jpg	аккустика	u7q5CM	7	311177
Fernandes LE-1Z 3S Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-27T20:20:06.052Z	g9.jpg	укулеле	J_T-AO	4	850627
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-24T20:20:06.052Z	g5.jpg	укулеле	iMICko	6	58608
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-28T20:20:06.052Z	g9.jpg	электро	FuBQz_	12	360982
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Есть ощущение, что в руках история.	2023-09-28T20:20:06.052Z	g1.jpg	аккустика	iqTpwn	6	157810
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-24T20:20:06.052Z	g6.jpg	аккустика	XcK6tw	4	524486
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-27T20:20:06.053Z	g5.jpg	аккустика	v1zApP	4	36444
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-24T20:20:06.053Z	g9.jpg	электро	b0e751	7	73591
Fernandes LE-1Z 3S Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-28T20:20:06.053Z	g1.jpg	аккустика	l4yDJQ	7	668219
Fernandes LE-1Z 3S Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-24T20:20:06.053Z	g5.jpg	электро	pUNOzp	4	896123
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-27T20:20:06.053Z	g8.jpg	укулеле	DgNd7R	12	362148
Ditson 000-10 (ель/красное дерево)	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-28T20:20:06.053Z	g7.jpg	аккустика	EJ78Qx	7	152008
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-24T20:20:06.053Z	g2.jpg	аккустика	uuhtg9	6	735701
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-27T20:20:06.053Z	g3.jpg	электро	vho4Y2	6	745289
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-27T20:20:06.053Z	g6.jpg	укулеле	mDfXWn	7	166061
Ditson 000-10 (ель/красное дерево)	Есть ощущение, что в руках история.	2023-09-26T20:20:06.053Z	g5.jpg	аккустика	MW_GRQ	12	771425
Fernandes LE-1Z 3S Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-29T20:20:06.053Z	g3.jpg	укулеле	_Kbbvp	7	563074
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-28T20:20:06.053Z	g7.jpg	аккустика	6tzuUc	12	16909
Ditson 000-10 (ель/красное дерево)	Есть ощущение, что в руках история.	2023-09-23T20:20:06.053Z	g2.jpg	аккустика	Rsaaau	7	989635
Fernandes LE-1Z 3S Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-26T20:20:06.053Z	g10.jpg	аккустика	6WTEgK	12	470985
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-24T20:20:06.053Z	g7.jpg	аккустика	JYgOJr	7	606325
Ditson 000-10 (ель/красное дерево)	Создавалась для известных музыкантов.	2023-09-27T20:20:06.053Z	g9.jpg	укулеле	hua--z	6	353517
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-26T20:20:06.053Z	g7.jpg	электро	-FJQTN	4	535752
Ditson 000-10 (ель/красное дерево)	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-28T20:20:06.053Z	g6.jpg	аккустика	58JdvM	4	361176
Fernandes LE-1Z 3S Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-29T20:20:06.053Z	g9.jpg	укулеле	Hc7_G-	6	296988
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Есть ощущение, что в руках история.	2023-09-28T20:20:06.053Z	g5.jpg	аккустика	f5Blik	6	870546
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-26T20:20:06.053Z	g8.jpg	укулеле	YiU1Rt	4	205758
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Создавалась для известных музыкантов.	2023-09-26T20:20:06.053Z	g4.jpg	аккустика	PDSHBj	7	361236
Fernandes LE-1Z 3S Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.053Z	g5.jpg	аккустика	Z5vZmC	6	327304
Fernandes LE-1Z 3S Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-26T20:20:06.053Z	g3.jpg	укулеле	o-mrDe	12	261609
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-29T20:20:06.053Z	g9.jpg	укулеле	eqKUk-	7	507801
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-26T20:20:06.053Z	g8.jpg	электро	HQY9Kr	7	668928
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-27T20:20:06.053Z	g10.jpg	укулеле	aaGztT	6	778372
Ditson 000-10 (ель/красное дерево)	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-29T20:20:06.053Z	g4.jpg	укулеле	-W7uO9	4	284448
Ditson 000-10 (ель/красное дерево)	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-27T20:20:06.053Z	g9.jpg	электро	j56-UE	7	887300
Cort GB24JJ-2T GB Series	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-25T20:20:06.053Z	g2.jpg	аккустика	Vcj7Z4	6	32233
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-26T20:20:06.053Z	g3.jpg	электро	IIF_1b	12	364473
Fernandes LE-1Z 3S Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-27T20:20:06.053Z	g2.jpg	аккустика	FW_WI3	6	43049
Fernandes LE-1Z 3S Black	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-25T20:20:06.053Z	g7.jpg	аккустика	lWt35t	6	396340
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-28T20:20:06.053Z	g3.jpg	аккустика	FeJ0TC	7	995110
Ditson 000-10 (ель/красное дерево)	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-23T20:20:06.053Z	g9.jpg	укулеле	7y82gl	6	257418
Fernandes LE-1Z 3S Black	Создавалась для известных музыкантов.	2023-09-28T20:20:06.053Z	g3.jpg	укулеле	kb54RM	6	624747
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Есть ощущение, что в руках история.	2023-09-26T20:20:06.053Z	g5.jpg	укулеле	DwHzR9	6	317785
Ditson 000-10 (ель/красное дерево)	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-26T20:20:06.053Z	g3.jpg	укулеле	rUFebz	7	116467
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-28T20:20:06.053Z	g2.jpg	аккустика	C6gCvn	4	348539
Ditson 000-10 (ель/красное дерево)	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-28T20:20:06.053Z	g5.jpg	электро	ailZlB	12	951437
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-27T20:20:06.053Z	g3.jpg	аккустика	al8Ns9	4	503670
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.053Z	g9.jpg	укулеле	yB-y0q	7	166997
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-27T20:20:06.053Z	g5.jpg	аккустика	0uRZU8	4	798432
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-26T20:20:06.053Z	g7.jpg	электро	mYf-9X	12	907477
Cort GB24JJ-2T GB Series	Есть ощущение, что в руках история.	2023-09-24T20:20:06.053Z	g8.jpg	аккустика	nWb6yY	4	872150
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-26T20:20:06.053Z	g4.jpg	аккустика	ZyerL-	6	606554
Fernandes LE-1Z 3S Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-25T20:20:06.053Z	g9.jpg	укулеле	Pf3r1t	12	749578
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-24T20:20:06.053Z	g3.jpg	электро	STrZzz	12	280164
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-24T20:20:06.053Z	g7.jpg	аккустика	7O_xMF	7	324557
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-25T20:20:06.053Z	g5.jpg	электро	0Uh5AJ	6	927866
Fernandes LE-1Z 3S Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-27T20:20:06.053Z	g3.jpg	аккустика	KuJA-y	6	373510
Cort GB24JJ-2T GB Series	Создавалась для известных музыкантов.	2023-09-25T20:20:06.053Z	g6.jpg	укулеле	45jqCm	4	634864
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-27T20:20:06.053Z	g4.jpg	аккустика	jqNvXD	7	390891
